id,name,host_since,host_listings_count,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified
205007,Martin And Taryn,2010-08-18,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
205325,Teri,2010-08-18,3,"Seattle, Washington, United States",N/A,,,f,t,t
205412,Meg,2010-08-18,10,"Washington State, United States",within an hour,1,1,f,t,t
207419,Hayoung,2010-08-20,1,"Seattle, Washington, United States",within a few hours,0.9,1,t,t,t
208959,Val,2010-08-22,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
209571,Cheryl,2010-08-22,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
212404,Piper + Kent,2010-08-25,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
212740,Shalini,2010-08-25,1,"Seattle, Washington, United States",within an hour,0.9,1,f,t,f
215230,Carol,2010-08-28,4,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
220013,Erik,2010-09-01,1,"Seattle, Washington, United States",N/A,,,f,t,t
222538,Suryo,2010-09-03,1,"Seattle, Washington, United States",N/A,,,f,t,t
225830,Lee & Steve,2010-09-06,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
225845,Gavin,2010-09-06,2,"Seattle, Washington, United States",within an hour,0.96,1,f,t,t
228678,Katie,2010-09-08,1,"Seattle, Washington, United States",within a day,1,,f,t,t
230140,Marie,2010-09-10,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
236709,Mandy,2010-09-16,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
238431,Brian,2010-09-18,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
238982,Maria & Graham,2010-09-19,7,"San Francisco, California",within a few hours,0.97,1,f,t,t
239585,Ray & Eileen,2010-09-19,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
242188,Jennifer,2010-09-22,1,"Seattle, Washington, United States",a few days or more,0.43,1,f,t,t
247975,Kevin And Monica,2010-09-28,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
256203,Shannon,2010-10-07,1,"Seattle, Washington, United States",within a day,0.63,1,f,t,t
257237,Laura,2010-10-09,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
273088,Gerry,2010-10-28,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
276239,Jacob And Katie,2010-11-01,1,"Seattle, Washington, United States",within a few hours,1,,f,t,f
278781,Derrick,2010-11-04,1,"Seattle, Washington, United States",N/A,,,t,t,t
282560,Rama,2010-11-09,1,"Seattle, Washington, United States",N/A,,,f,t,t
286545,Yuriy,2010-11-14,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
287172,Laura,2010-11-14,2,"Seattle, Washington, United States",within a few hours,0.8,1,f,t,f
287962,Ian,2010-11-15,4,"Seattle, Washington, United States",within a day,1,1,f,t,t
292232,Marilyn,2010-11-19,1,"Seattle, Washington, United States",N/A,,,f,t,t
295367,Bede,2010-11-22,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
301107,Perry,2010-11-27,4,"Seattle, Washington, United States",N/A,,,f,t,t
308927,John,2010-12-03,2,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
311363,Irmgard,2010-12-06,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
316200,William,2010-12-11,4,"Seattle, Washington, United States",within an hour,1,1,t,t,t
325970,Xiao Yu,2010-12-23,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
326758,Andrew,2010-12-25,1,"Seattle, Washington, United States",N/A,,,f,t,t
331573,Jean,2010-12-31,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
337474,Lien,2011-01-06,1,US,within a few hours,1,,f,t,f
340192,Angela,2011-01-08,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
351623,E.J.,2011-01-18,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
357277,Matthew,2011-01-22,1,"Seattle, Washington, United States",within an hour,0.8,1,f,t,t
361961,Breeze,2011-01-25,4,"Berkeley, California, United States",within an hour,0.95,1,t,t,t
365687,Erik + Pamela,2011-01-28,1,"Seattle, Washington, United States",within a day,0.7,1,f,t,f
365852,Kymber,2011-01-28,1,"Seattle, Washington, United States",N/A,,,f,t,t
374596,Sarah,2011-02-02,1,"Seattle, Washington, United States",within a day,0.9,1,f,t,t
378445,Ralph,2011-02-05,1,"Seattle, Washington, United States",within a day,1,1,f,t,f
379533,Tina,2011-02-06,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
382286,Emily,2011-02-08,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
383230,Jessica,2011-02-08,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
386308,Amelia,2011-02-10,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
391714,Lauren,2011-02-14,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
394231,Sonny,2011-02-16,2,"Seattle, Washington, United States",within an hour,0.9,1,f,t,t
398005,Trevor,2011-02-18,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
398234,Scott,2011-02-18,1,"Seattle, Washington, United States",N/A,,1,f,t,t
406209,Kathleen,2011-02-23,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
406456,Brittany,2011-02-23,1,"Seattle, Washington, United States",N/A,,,f,t,t
409899,Eleanor,2011-02-25,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
429330,Trudi,2011-03-08,1,"Seattle, Washington, United States",N/A,,,f,t,t
430709,Sea To Sky Rentals,2011-03-08,36,"Seattle, Washington, United States",within a day,0.88,1,f,t,t
437055,Jyoti,2011-03-12,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
450548,Vaibhav,2011-03-19,3,"Seattle, Washington, United States",within a day,1,1,f,t,t
453540,Sid,2011-03-20,5,Seattle,within a few hours,0.86,1,f,t,t
457358,Tanya,2011-03-22,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
466499,Elizabeth,2011-03-27,1,"Arlington, Massachusetts, United States",within a day,1,1,f,t,f
468703,Corinne & Tom,2011-03-28,2,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
469819,Tina,2011-03-29,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
471246,Cameron,2011-03-29,1,"Seattle, Washington, United States",within an hour,0.67,1,t,t,f
476303,Carol,2011-03-31,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
486018,William,2011-04-05,1,"Seattle, Washington, United States",N/A,,,f,t,t
504978,Sven,2011-04-13,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
512084,Edwin,2011-04-15,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
512103,Mari,2011-04-15,1,"Seattle, Washington, United States",within a day,0.6,1,f,t,t
527224,Wally & Ela,2011-04-22,1,"Seattle, Washington, United States",N/A,,,f,t,t
534305,Laurie,2011-04-25,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
534587,Cynthia,2011-04-25,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
539515,Shari,2011-04-27,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
541406,Trung,2011-04-28,2,"Seattle, Washington, United States",within a day,1,1,f,t,f
541908,Mary,2011-04-28,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
554458,Sarah And Andrew,2011-05-03,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
555957,Alexia,2011-05-04,3,"Seattle, Washington, United States",within a few hours,0.95,1,f,t,t
558743,Natalie,2011-05-05,2,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
559827,Judith,2011-05-05,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
560743,Zachary,2011-05-05,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
561271,Perrin,2011-05-05,1,"San Diego, California, United States",within a day,1,1,f,t,f
566102,Eve,2011-05-07,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
579854,Sharon,2011-05-11,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
583579,Amy,2011-05-12,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
584774,Helene,2011-05-13,1,"Seattle, Washington, United States",N/A,,,f,t,t
586610,Kim,2011-05-14,1,"Seattle, Washington, United States",N/A,,,f,t,t
587302,Danni,2011-05-14,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
589855,Johnny,2011-05-15,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
594315,Jana,2011-05-16,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
595074,Jillian And Lorin,2011-05-16,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
595263,Matt,2011-05-16,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
595610,Elena,2011-05-17,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
597729,Diane,2011-05-17,1,"Seattle, Washington, United States",within an hour,1,1,t,t,f
598892,Winnie,2011-05-18,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
601236,Meg,2011-05-18,1,"Seattle, Washington, United States",within a day,0.6,1,f,t,t
601266,Pam And Tim,2011-05-18,1,"Grosse Pointe Farms, Michigan, United States",within a few hours,1,1,f,t,t
601600,Hal,2011-05-18,2,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
621691,Rachael,2011-05-24,2,"San Francisco, California, United States",within a few hours,1,1,f,t,t
627014,Arlene,2011-05-25,1,"Seattle, Washington, United States",N/A,,,f,t,f
632896,Christina,2011-05-27,1,"Seattle, Washington, United States",N/A,,,f,t,t
640731,Dan And Natalia,2011-05-29,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
658155,Joe,2011-06-02,13,"Seattle, Washington, United States",within an hour,1,1,t,t,t
661691,Katy,2011-06-03,163,"Vancouver, Washington, United States",within a few hours,0.92,1,f,t,t
668141,Jennifer,2011-06-05,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
673805,Amy,2011-06-07,1,"Seattle, Washington, United States",within a day,1,1,t,t,f
680066,Julie,2011-06-08,1,"Seattle, Washington, United States",within a few hours,0.88,1,f,t,f
681242,Heather,2011-06-09,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
683617,Jana,2011-06-09,1,"Seattle, Washington, United States",within a day,0.75,1,t,t,t
685350,Robert,2011-06-10,1,SG,N/A,,,f,t,f
696788,Julie,2011-06-13,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
721070,Suzanne,2011-06-20,2,"Vashon, Washington, United States",within an hour,1,1,f,t,t
724729,Tania,2011-06-20,4,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
737618,Gaurav,2011-06-23,1,"Seattle, Washington, United States",N/A,,,f,t,t
748695,Peter,2011-06-27,1,"Seattle, Washington, United States",N/A,,,f,t,f
750650,Sandy,2011-06-27,1,"Dallas, Texas, United States",within an hour,1,1,f,t,t
753818,Wesley,2011-06-28,1,"Seattle, Washington, United States",within an hour,1,,f,t,f
754810,Andy,2011-06-28,10,"Seattle, Washington, United States",within an hour,0.96,1,t,t,t
755725,Sunil,2011-06-28,1,"Seattle, Washington, United States",N/A,,,f,t,f
756099,Carie,2011-06-28,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
759949,Marcia,2011-06-29,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
765012,Hernan,2011-07-01,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
767899,Amy,2011-07-01,1,"Seattle, Washington, United States",N/A,,,f,t,t
769622,Gil,2011-07-02,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
780837,Judith,2011-07-05,2,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
781716,Andra,2011-07-05,1,"Seattle, Washington, United States",N/A,,,t,t,t
791459,Kathy,2011-07-07,1,"Seattle, Washington, United States",N/A,,,f,t,t
798892,Chantel,2011-07-09,2,"Seattle, Washington, United States",within a day,0.93,1,f,t,t
804996,Nadine,2011-07-11,3,"Seattle, Washington, United States",within an hour,1,1,t,t,t
807116,Emily,2011-07-11,3,"Seattle, Washington, United States",within a day,0.8,1,f,t,t
811494,Alexis,2011-07-12,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
828164,Emily,2011-07-16,2,"Seattle, Washington, United States",within an hour,0.8,1,f,t,t
830508,Doug And Lori,2011-07-17,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
832888,Matthew,2011-07-18,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
834328,Michelle,2011-07-18,1,"Seattle, Washington, United States",N/A,,,f,t,t
841009,Lauren,2011-07-19,1,"Seattle, Washington, United States",within an hour,0.9,1,f,t,t
844971,Laura,2011-07-20,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
862329,Prez & Cherie,2011-07-24,11,"Seattle, Washington, United States",within a few hours,0.89,1,f,t,t
864962,Kaitlyn,2011-07-25,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
867039,Molly,2011-07-25,2,"Seattle, Washington, United States",within a day,0.6,1,f,t,t
880937,Connie,2011-07-27,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,f
881457,Aaron,2011-07-27,1,"Seattle, Washington, United States",N/A,,,t,t,t
884680,Timothy,2011-07-28,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
895223,Andrew,2011-07-30,1,"Seattle, Washington, United States",N/A,,,f,t,t
900531,Clay,2011-08-01,2,"Seattle, Washington, United States",within a day,1,1,f,t,t
919364,Jeff,2011-08-04,9,"Berkeley, California, United States",within a few hours,0.9,1,f,t,t
919431,Patty,2011-08-04,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
923095,Denise,2011-08-04,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
934641,Nick,2011-08-07,3,"Seattle, Washington, United States",within an hour,1,1,f,t,f
937951,Ana,2011-08-08,5,"Tucson, Arizona, United States",within an hour,1,1,f,t,t
941389,Rachel,2011-08-08,1,"Seattle, Washington, United States",N/A,,,f,t,t
943663,Leah,2011-08-09,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
943847,Cote,2011-08-09,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
946910,Nathan,2011-08-09,2,"Seattle, Washington, United States",within an hour,0.8,1,f,t,t
956883,Maija,2011-08-11,3,"Seattle, Washington, United States",within a few hours,0.96,1,f,t,t
964658,Marina,2011-08-13,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
971336,Julie,2011-08-15,1,"Seattle, Washington, United States",within an hour,1,1,t,t,f
983759,Jason,2011-08-17,1,"Seattle, Washington, United States",within a few hours,1,,f,t,t
990195,Kerry,2011-08-18,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
990692,Paul,2011-08-18,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
1002255,John,2011-08-21,1,"Tucson, Arizona, United States",within a day,1,1,f,t,t
1007123,Ellen,2011-08-22,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
1015653,David,2011-08-24,1,"Seattle, Washington, United States",within a few hours,0.9,1,f,t,t
1022302,David,2011-08-26,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1024728,Barbara,2011-08-26,2,"Seattle, Washington, United States",N/A,,,f,t,t
1025556,Kristen,2011-08-26,1,"Seattle, Washington, United States",N/A,,,f,t,t
1025723,Dirk & Jaq,2011-08-27,3,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1030035,Lara,2011-08-28,1,"Seattle, Washington, United States",N/A,,,f,t,t
1037114,Amy,2011-08-30,1,"Seattle, Washington, United States",N/A,,,f,t,t
1037115,Rose & Glen,2011-08-30,7,"Montezuma,Costas Rica  and Seattle Wasington, United States",within a few hours,1,1,f,t,t
1039322,Manomi,2011-08-30,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1075031,,,,,N/A,,,,,
1092756,Miesha,2011-08-31,3,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1100212,Maria C.,2011-09-02,3,"New York, New York, United States",within a few hours,1,1,f,t,t
1102542,Naureen & Shehryar,2011-09-02,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1107424,Pamela,2011-09-04,1,"Ciudad ObregÃ³n, Sonora, Mexico",within a day,0.57,1,f,t,f
1118758,Molly,2011-09-06,1,"Seattle, Washington, United States",N/A,,,f,t,t
1119024,Marin,2011-09-06,3,"Seattle, Washington, United States",within a day,1,1,t,t,t
1121532,Autumn,2011-09-07,8,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1123549,Sandy,2011-09-07,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1131945,Sophia,2011-09-08,2,"Seattle, Washington, United States",within a day,1,1,f,t,t
1135078,Eri,2011-09-09,1,"Seattle, Washington, United States",N/A,,,f,t,t
1135188,Samantha,2011-09-09,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1142416,Charles,2011-09-11,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1144724,Rachel,2011-09-12,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1146836,Mona,2011-09-12,2,"Seattle, Washington, United States",within a day,0.7,1,t,t,t
1149264,Marc,2011-09-12,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
1154803,Kelly,2011-09-13,3,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1169181,Steve,2011-09-16,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1183674,Lisa,2011-09-20,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
1183679,Meredith,2011-09-20,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1187351,Michael,2011-09-20,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
1195323,Celia,2011-09-22,1,"Seattle, Washington, United States",N/A,,,t,t,t
1201633,Wayne,2011-09-23,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
1202954,Jay,2011-09-24,1,"San Francisco, California, United States",within a day,1,,f,t,t
1204406,Mariel,2011-09-24,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
1210993,John,2011-09-26,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
1212520,Jeremy And Rachael,2011-09-26,4,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1214247,Marcell,2011-09-27,2,"Seattle, Washington, United States",within a day,1,1,t,t,t
1215564,Danielle,2011-09-27,1,"Seattle, Washington, United States",N/A,,,f,t,f
1224813,Cam,2011-09-29,4,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
1230087,Megan,2011-09-30,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1237248,Elise,2011-10-02,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1243056,Andrew,2011-10-03,37,"Seattle, Washington, United States",within an hour,0.9,1,f,t,t
1252862,Jay,2011-10-05,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
1254153,Johnny,2011-10-06,1,"Seattle, Washington, United States",within a day,1,,f,t,t
1262470,Yaicha & Robert,2011-10-08,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
1274285,Galina,2011-10-10,3,"Seattle, Washington, United States",within an hour,0.89,1,f,t,t
1276476,Roberto,2011-10-11,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1282652,Amanda,2011-10-12,1,"Seattle, Washington, United States",within a day,0.5,1,f,t,t
1288618,Chris,2011-10-13,1,"Seattle, Washington, United States",N/A,,,f,t,t
1300775,Tatyana,2011-10-17,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1303314,Dan + Suzanne,2011-10-17,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
1304769,Lilia,2011-10-17,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1309213,Audrey And Benoit,2011-10-18,1,"Seattle, Washington, United States",N/A,,1,f,t,f
1311683,Stephanie,2011-10-19,1,"Seattle, Washington, United States",N/A,,,f,t,f
1319017,Pj,2011-10-21,1,"Seattle, Washington, United States",within a day,0.67,1,f,t,t
1324474,Christen,2011-10-23,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1336214,Kim,2011-10-26,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
1340339,Anne,2011-10-27,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
1340738,Elisa,2011-10-27,1,"San Diego, California, United States",within an hour,1,1,f,t,t
1343908,Martin,2011-10-27,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1346749,April,2011-10-28,1,"Lafayette, California, United States",within a few hours,0.75,1,f,t,t
1353882,Mike,2011-10-31,2,"Seattle, Washington, United States",N/A,,,f,t,t
1355886,Emily,2011-10-31,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
1356696,Jeanette,2011-10-31,2,"Seattle, Washington, United States",within a day,1,1,f,t,t
1363490,Mireya,2011-11-02,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1375021,Charlotte & Larry,2011-11-06,1,"Seattle, Washington, United States",within an hour,1,1,t,t,f
1379138,Rachel,2011-11-07,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
1379358,Peter,2011-11-07,3,"Seattle, Washington, United States",within an hour,1,1,t,t,t
1380838,Riley,2011-11-07,1,"Seattle, Washington, United States",within a day,0.5,,f,t,f
1382401,Jee Young,2011-11-07,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
